media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,alpha-Pinene,Camphene,beta-Pinene,beta-Myrcene,3-Carene,alpha-Terpinene,p-Cymene,D-Limonene,Ocimene 1,Ocimene 2,gamma-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,Caryophyllene,alpha-Humulene,Nerolidol 1,Nerolidol 2,Guaiol,alpha-Bisabolol,timestamp,original_filename
live rosin,nasha hash,Bdog120A/Decarb Live Rosin,25.3,27356.666666666668,0.815687165,0.064116313,0.7057098830656524,0.0,0.0,0.0,0.0,0.04826491617357,0.001569032,0.000673706,0.001569032,0.006183548,0.0,0.000214416,0.0,0.017643579,0.000326033,0.00047391,0.000214416,0.000625955,0.001450222,0.000183295,0.00016166,0.019346341,0.005619826,0.002184166,0.000145915,8.827623403718733e-05,0.004110228,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 120A/Decarb Live Rosin,25.3,39476.66666666666,0.8381327841938406,0.065494686,0.6890184839221014,0.05779212,0.0,0.0,0.0,0.031516361,0.000921387,0.000684573,0.000921387,0.012555184,0.0,0.000177948,7.520833333333334e-05,0.020934413,0.000223922,0.000133735,0.000177948,0.00044934,0.000703271,0.000176925,0.000130693,0.0140748689141757,0.005578626,0.002572597,0.00044319,9.247325067934782e-05,0.002804582,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 120A/Decarb Live Rosin,25.3,46936.66666666666,0.8842449752512375,0.063852341,0.8091307184640768,0.019710814459277,0.0,0.0,0.0,0.018282848,0.001475852,0.000695127,0.001475852,0.0100365275161241,0.0,0.000192908,0.0,0.0161267309284535,0.000158385,0.000133463,0.000192908,0.000458567,0.002541557,0.000197525,0.000123224,0.0151871525048747,0.006243343,0.002009295,0.0,0.00365012,0.00196056,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,nasha hash,Strawnana 120A,25.3,143433.33333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,25.46666666666667,28260.0,0.8015082977325008,0.059773559,0.6829012487676634,0.0,0.0,0.0,0.0,0.059437726,0.001531589,0.000515694,0.001531589,0.004742677,0.0,0.000183965,8.939823008849557e-05,0.0116039534039083,0.000193561,0.000335926,0.000183965,0.000454648,0.000966729,0.000159855,0.00011255,0.0230209368449666,0.006568057,0.001861015,0.000348117,8.130540789513425e-05,0.004624868,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,30.2,12713.333333333334,0.8015082977325008,0.059773559,0.6829012487676634,0.0,0.0,0.0,0.0,0.059437726,0.001531589,0.000515694,0.001531589,0.004742677,0.0,0.000183965,8.939823008849557e-05,0.0116039534039083,0.000193561,0.000335926,0.000183965,0.000454648,0.000966729,0.000159855,0.00011255,0.0230209368449666,0.006568057,0.001861015,0.000348117,8.130540789513425e-05,0.004624868,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,40.53333333333333,2774.633333333333,0.8015082977325008,0.059773559,0.6829012487676634,0.0,0.0,0.0,0.0,0.059437726,0.001531589,0.000515694,0.001531589,0.004742677,0.0,0.000183965,8.939823008849557e-05,0.0116039534039083,0.000193561,0.000335926,0.000183965,0.000454648,0.000966729,0.000159855,0.00011255,0.0230209368449666,0.006568057,0.001861015,0.000348117,8.130540789513425e-05,0.004624868,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,50.13333333333333,182.6,0.8015082977325008,0.059773559,0.6829012487676634,0.0,0.0,0.0,0.0,0.059437726,0.001531589,0.000515694,0.001531589,0.004742677,0.0,0.000183965,8.939823008849557e-05,0.0116039534039083,0.000193561,0.000335926,0.000183965,0.000454648,0.000966729,0.000159855,0.00011255,0.0230209368449666,0.006568057,0.001861015,0.000348117,8.130540789513425e-05,0.004624868,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 245A/Decarb Live Rosin,25.46666666666667,34186.666666666664,0.9084948400158008,0.068110116,0.8329946425044441,0.004836066,0.0,0.0,0.0,0.0285501431957337,0.001864839,0.000741683,0.001864839,0.009387611,0.0,0.000237956,0.0,0.0179380934969385,0.000189374,0.000173251,0.000237956,0.000501281,0.002108925,0.000218941,0.0001571,0.01662137,0.006875918,0.002206019,0.0,0.004053978,0.002028746,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 245A/Decarb Live Rosin,50.13333333333333,224.4333333333333,0.9084948400158008,0.068110116,0.8329946425044441,0.004836066,0.0,0.0,0.0,0.0285501431957337,0.001864839,0.000741683,0.001864839,0.009387611,0.0,0.000237956,0.0,0.0179380934969385,0.000189374,0.000173251,0.000237956,0.000501281,0.002108925,0.000218941,0.0001571,0.01662137,0.006875918,0.002206019,0.0,0.004053978,0.002028746,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Rambutan 245A/Decarb Live Rosin,25.46666666666667,5249.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Rambutan 245A/Decarb Live Rosin,50.13333333333333,144.23333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Strawnana 245A/Decarb Live Rosin,25.46666666666667,151600.0,0.9273764717861372,0.0385000404880035,0.8372581735041468,0.0,0.0,0.0,0.0,0.042657083,0.001469037,0.000529965,0.001469037,0.002675257,0.0,0.000188721,8.123828124999998e-05,0.012643768189055,0.000753184,0.002481869,0.000188721,0.000321325,0.000161133,0.000146502,0.000124871,0.009059788,0.002667934,0.002082733,0.000440985,6.970154213566351e-05,0.000342911,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Strawnana 245A/Decarb Live Rosin,50.13333333333333,399.5,0.9273764717861372,0.0385000404880035,0.8372581735041468,0.0,0.0,0.0,0.0,0.042657083,0.001469037,0.000529965,0.001469037,0.002675257,0.0,0.000188721,8.123828124999998e-05,0.012643768189055,0.000753184,0.002481869,0.000188721,0.000321325,0.000161133,0.000146502,0.000124871,0.009059788,0.002667934,0.002082733,0.000440985,6.970154213566351e-05,0.000342911,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,cresco,Bulk Cookie Dog x wactomelon/Live Resin,25.46666666666667,18866.666666666668,0.9309006211180124,0.0532145776397515,0.8493167701863353,0.0,0.0,0.0,0.0,0.0,0.000899944,0.000477894,0.000899944,0.02427072,0.0,0.000266478,0.0,0.0102532422360248,0.000185242,0.000237615,0.000266478,0.000546025,0.001560124,0.0,0.0,0.008644186,0.003112876,0.0,0.001273186,0.0,0.000246311,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,cresco,Bulk Cookie Dog x wactomelon/Live Resin,30.2,8424.333333333334,0.9309006211180124,0.0532145776397515,0.8493167701863353,0.0,0.0,0.0,0.0,0.0,0.000899944,0.000477894,0.000899944,0.02427072,0.0,0.000266478,0.0,0.0102532422360248,0.000185242,0.000237615,0.000266478,0.000546025,0.001560124,0.0,0.0,0.008644186,0.003112876,0.0,0.001273186,0.0,0.000246311,2025-04-01T10:47:05.141747,Media Database V3 2023
