media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename
D9,05162024-Customer Oil,0.0,CPA-52Z,20,25.3,23876.666666666668,05162024-customer oil D9.xlsx
D9,05162024-Customer Oil,0.0,CPA-52Z,30,30.366666666666664,10196.0,05162024-customer oil D9.xlsx
D9,05162024-Customer Oil,0.0,CPA-52Z,50,40.06666666666666,2037.3333333333333,05162024-customer oil D9.xlsx
D9,05162024-Customer Oil,0.0,CPA-52Z,250,49.73333333333333,508.0,05162024-customer oil D9.xlsx
D9,05162024-Customer Oil,0.0,CPA-52Z,250,60.03333333333333,165.1,05162024-customer oil D9.xlsx
D9,05162024-Customer Oil,0.0,CPA-52Z,250,64.76666666666667,103.74333333333334,05162024-customer oil D9.xlsx
D8,Lemon,0.0,CPA-40Z,1,25.2,10630.0,2-6-2023 Lemon HazeD8-10kcp.xlsx
D8,Lemon,0.0,CPA-40Z,2,30.4,5079.333333333333,2-6-2023 Lemon HazeD8-10kcp.xlsx
D8,Lemon,0.0,CPA-40Z,5,39.2,1128.6666666666667,2-6-2023 Lemon HazeD8-10kcp.xlsx
D8,Lemon,0.0,CPA-40Z,10,49.23333333333333,309.56666666666666,2-6-2023 Lemon HazeD8-10kcp.xlsx
D8,Lemon,0.0,CPA-40Z,25,59.26666666666667,107.06666666666666,2-6-2023 Lemon HazeD8-10kcp.xlsx
D8,Lemon,0.0,CPA-40Z,100,69.46666666666665,27.64,2-6-2023 Lemon HazeD8-10kcp.xlsx
Unknown,Unknown,0.0,CPA-52Z,25,25.8,6614.666666666667,245A -viscosity.xlsx
Unknown,Unknown,0.0,CPA-40Z,75,48.53333333333334,22.790000000000003,245A -viscosity.xlsx
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx
D9,300Kcp,0.0,CPA-40Z,,,,300kcp D9 - maui wowie.xlsx
D9,300Kcp,0.0,CPA-40Z,,,,300kcp D9 - maui wowie.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-52Z,0.5,25.600000000000005,740866.6666666666,4.19.23-lmnhz-D8.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-52Z,1.0,30.4,213266.66666666663,4.19.23-lmnhz-D8.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-52Z,5.0,39.7,28573.33333333333,4.19.23-lmnhz-D8.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-52Z,25.0,49.03333333333333,5334.333333333333,4.19.23-lmnhz-D8.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-40Z,50.0,60.1,166.2,4.19.23-lmnhz-D8.xlsx
D8,4.19.23-Lmnhz,0.0,CPA-40Z,100.0,69.43333333333332,35.57666666666667,4.19.23-lmnhz-D8.xlsx
D8,Guava,0.0,CPA-52Z,0.5,25.0,1066766.6666666667,700kcp D8 + Guava.xlsx
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx
D8,Guava,0.0,CPA-40Z,,,,700kcp D8 + Guava.xlsx
D8,Guava,0.0,CPA-40Z,,,,700kcp D8 + Guava.xlsx
D8,Sunset Sherbert,0.0,CPA-52Z,0.5 RPM,25.76666666666667,763066.6666666666,763kcp- Sunset Sherbert D8- 05.30.23.xlsx
D8,Sunset Sherbert,0.0,CPA-52Z,1.0 RPM,29.73333333333333,277800.0,763kcp- Sunset Sherbert D8- 05.30.23.xlsx
