media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename,Unnamed: 8
D9,05162024-Customer Oil,0.0,CPA-52Z,20,25.3,23876.66667,05162024-customer oil D9.xlsx,
D9,05162024-Customer Oil,0.0,CPA-52Z,30,30.36666667,10196.0,05162024-customer oil D9.xlsx,
D9,05162024-Customer Oil,0.0,CPA-52Z,50,40.06666667,2037.333333,05162024-customer oil D9.xlsx,
D9,05162024-Customer Oil,0.0,CPA-52Z,250,49.73333333,508.0,05162024-customer oil D9.xlsx,
D9,05162024-Customer Oil,0.0,CPA-52Z,250,60.03333333,165.1,05162024-customer oil D9.xlsx,
D9,05162024-Customer Oil,0.0,CPA-52Z,250,64.76666667,103.7433333,05162024-customer oil D9.xlsx,
D8,Lemon,0.0,CPA-40Z,1,25.2,10630.0,2-6-2023 Lemon HazeD8-10kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,2,30.4,5079.333333,2-6-2023 Lemon HazeD8-10kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,5,39.2,1128.666667,2-6-2023 Lemon HazeD8-10kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,10,49.23333333,309.5666667,2-6-2023 Lemon HazeD8-10kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,25,59.26666667,107.0666667,2-6-2023 Lemon HazeD8-10kcp.xlsx,
D8,Lemon,0.0,CPA-40Z,100,69.46666667,27.64,2-6-2023 Lemon HazeD8-10kcp.xlsx,
Unknown,Unknown,0.0,CPA-52Z,25,25.8,6614.666667,245A -viscosity.xlsx,
Unknown,Unknown,0.0,CPA-40Z,75,48.53333333,22.79,245A -viscosity.xlsx,
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx,
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx,
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx,
D9,300Kcp,0.0,CPA-52Z,,,,300kcp D9 - maui wowie.xlsx,
D9,300Kcp,0.0,CPA-40Z,,,,300kcp D9 - maui wowie.xlsx,
D9,300Kcp,0.0,CPA-40Z,,,,300kcp D9 - maui wowie.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-52Z,0.5,25.6,740866.6667,4.19.23-lmnhz-D8.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-52Z,1,30.4,213266.6667,4.19.23-lmnhz-D8.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-52Z,5,39.7,28573.33333,4.19.23-lmnhz-D8.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-52Z,25,49.03333333,5334.333333,4.19.23-lmnhz-D8.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-40Z,50,60.1,166.2,4.19.23-lmnhz-D8.xlsx,
D8,4.19.23-Lmnhz,0.0,CPA-40Z,100,69.43333333,35.57666667,4.19.23-lmnhz-D8.xlsx,
D8,Guava,0.0,CPA-52Z,0.5,25.0,1066766.667,700kcp D8 + Guava.xlsx,
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx,
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx,
D8,Guava,0.0,CPA-52Z,,,,700kcp D8 + Guava.xlsx,
D8,Guava,0.0,CPA-40Z,,,,700kcp D8 + Guava.xlsx,
D8,Guava,0.0,CPA-40Z,,,,700kcp D8 + Guava.xlsx,
D8,Sunset Sherbert,0.0,CPA-52Z,0.5 RPM,25.76666667,763066.6667,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
D8,Sunset Sherbert,0.0,CPA-52Z,1.0 RPM,29.73333333,277800.0,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
D8,Sunset Sherbert,0.0,CPA-52Z,10.0 RPM,39.06666667,41223.33333,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
D8,Sunset Sherbert,0.0,CPA-52Z,50.0 RPM,49.66666667,5101.333333,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
D8,Sunset Sherbert,0.0,CPA-40Z,100.0 RPM,60.2,106.5666667,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
D8,Sunset Sherbert,0.0,CPA-40Z,200.0 RPM,68.9,17.26666667,763kcp- Sunset Sherbert D8- 05.30.23.xlsx,
Rosin,Abundant,0.0,CPA-52Z,1,25.4,323566.6667,ABUNDANT ROSIN.xlsx,
Rosin,Abundant,0.0,CPA-52Z,2,29.6,134666.6667,ABUNDANT ROSIN.xlsx,
Rosin,Abundant,0.0,CPA-52Z,10,39.7,11225.61,ABUNDANT ROSIN.xlsx,
Rosin,Abundant,0.0,CPA-52Z,100,49.16666667,1725.0,ABUNDANT ROSIN.xlsx,
Rosin,Abundant,0.0,CPA-40Z,20,59.0,259.8666667,ABUNDANT ROSIN.xlsx,
Rosin,Abundant,0.0,CPA-40Z,100,71.13333333,38.02,ABUNDANT ROSIN.xlsx,
D8,Bubba,0.0,CPA-40Z,10,26.5,1425.0,Alien Bubba D8 6-27-23.xlsx,
D8,Bubba,0.0,CPA-40Z,25,29.73333333,924.0,Alien Bubba D8 6-27-23.xlsx,
D8,Bubba,0.0,CPA-40Z,50,38.9,320.8666667,Alien Bubba D8 6-27-23.xlsx,
D8,Bubba,0.0,CPA-40Z,50,49.16666667,133.2666667,Alien Bubba D8 6-27-23.xlsx,
D8,Bubba,0.0,CPA-40Z,75,58.73333333,57.55333333,Alien Bubba D8 6-27-23.xlsx,
D8,Bubba,0.0,CPA-40Z,85,74.43333333,31.80333333,Alien Bubba D8 6-27-23.xlsx,
Unknown,Lemon,0.0,CPA-52Z,1,25.13333333,464566.6667,Alien Lemon 6-29-23.xlsx,
Unknown,Lemon,0.0,CPA-52Z,3,29.86666667,151366.6667,Alien Lemon 6-29-23.xlsx,
Unknown,Lemon,0.0,CPA-52Z,10,39.3,22466.66667,Alien Lemon 6-29-23.xlsx,
Unknown,Lemon,0.0,CPA-52Z,20,49.0,4365.666667,Alien Lemon 6-29-23.xlsx,
Unknown,Lemon,0.0,CPA-40Z,20,59.1,224.6333333,Alien Lemon 6-29-23.xlsx,
Unknown,Lemon,0.0,CPA-40Z,75,69.13333333,59.41333333,Alien Lemon 6-29-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,5,26.4,1219.0,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,10,29.3,844.1,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,50,39.16666667,272.2333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,75,49.23333333,95.45333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,75,58.26666667,50.34333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,100,68.83333333,25.02666667,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,1,25.66666667,612000.0,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,2,29.43333333,255466.6667,Alien Rush Cake D8 6-27-23.xlsx,
