media,media_brand,terpene,terpene_pct,temperature,viscosity,timestamp,original_filename
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,23.8,285500.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,29.9,110666.66666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,39.6,24553.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,49.5,1192.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,59.3,496.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,69.1,238.4,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,23.8,259300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,29.9,78107.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,39.6,14523.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,49.5,806.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,59.3,119.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,69.1,51.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,23.8,121441.3,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,29.9,65880.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,39.6,12226.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,49.5,2788.6666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,59.3,172.33333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,69.1,50.696666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,25.0,26990.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,30.0,10691.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,35.0,5175.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,45.0,873.0333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,55.0,184.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Banana Foster/ Live Resin,,25.0,120133.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,25.46666666666667,18866.666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,30.2,8424.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,40.53333333333333,1002.6666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,50.13333333333333,31.39,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,25.46666666666667,1993333.3333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,30.2,508300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,40.53333333333333,53816.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
