media,media_brand,terpene,total_potency,terpene_pct,temperature,viscosity,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
live rosin,Abundant,Forest Queen/Decarb Live Rosin,0.859553571,,,,0.812886905,0.014702381,0,0,0,0.014732143,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Abundant,Jenny Kush/ Decarb Live Rosin,0.820151515,,,,0.727121212,0,0,0,0,0.06844697,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,23.8,285500,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,29.9,110666.6667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,39.6,24553.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,49.5,1192.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,59.3,496.3333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,,69.1,238.4,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,23.8,259300,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,29.9,78107,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,39.6,14523,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,49.5,806,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,59.3,119,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,,69.1,51,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,0.758012422,,,,0.758012422,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,B & R Labs,Cosmic Frog/D9+Live Rosin,0.870170953,,,,0.826307434,0,0.00296182,0,0,0.017547168,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Bear,Facemelt/Decarb Live Rosin,0.838681818,,,,0.753768717,0.028614973,0,0,0,0.025287433,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Bear,Lemon sportif/Decarb live Rosin,0.854877778,,,,0.780626068,0.017449145,0,0,0,0.029054274,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Canamo,CanRose /Decarb Live Rosin,0.820049213,,,,0.493769685,0.280295276,0,0,0,0.011860236,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,23.8,121441.3,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,29.9,65880,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,39.6,12226.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,49.5,2788.666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,59.3,172.3333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,,69.1,50.69666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Canamo,Wedding Cake/ Decarb Live Rosin,0.761408046,,,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,,25,26990,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,,30,10691.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,,35,5175.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,,45,873.0333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,,55,184.5,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Copperstate,First Class Funk/Decarb Live Rosin,0.809485714,0.03137368,,,0.774771429,0,0,0,0,0.021171429,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Copperstate,First Class Funk/Live Rosin Concentrate,0.803448958,0.020551508,,,0.182549395,0.592515414,0,0,0,0.005255792,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Cream,Guava/D8 Distillate,0.51169716,0.051050895,,,0.015423376,0,0,0,0.244218248,0,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Cream,Troptical/D8 Distillate,0.3915,0.046360838,,,0.003021528,0,0,0,0.084917248,0,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Cresco,Banana Foster/ Live Resin,,,25,120133.3333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,Cresco,Banana Foster/ Live Resin,0.867432432,0.038826638,,,0.793081081,0,0,0,0,0.022162162,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,,25.46666667,18866.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,,30.2,8424.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,,40.53333333,1002.666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,,50.13333333,31.39,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,0.930900621,0.053214578,,,0.84931677,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,Cresco,Cookie Dog X Wactomelon/Live Resin,0.791171594,0.075922605,,,0.791171594,0,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Cresco,FloraCal Farms/Decarb Live Rosin,0.834065041,,,,0.834065041,0,0,,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Balkava/Flower,0.245935973,,,,0.031805392,0.19883909,0,0.002941028,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Dutch Treat/Flower,0.234576092,0.007406901,,,0.014848608,0.195630191,0,0,0.000770937,0.002294744,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Lemberry/Flower,0.188181092,0.006866122,,,0.034225033,0.128873502,0.00069241,0.000418109,0,0.002824234,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Soar Leopard/Flower,0.219709322,0.006991383,,,0.008146361,0.191753714,0,0,0.000394373,0.001406899,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Timewreck/Flower,0.085176842,,,,0,0.080969474,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Curaleaf-Find,Wedding Cake/Flower,0.216554737,0.010839867,,,0.006302858,0.194479552,0,0,0.000493415,0.001023959,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Drip,HanSolo Burger/Decarb Live Rosin,0.820521173,,,,0.621986971,0.162247557,0,0,0,0.010407166,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,,25.46666667,1993333.333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,,30.2,508300,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,,40.53333333,53816.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,,50.13333333,8308,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,,59.4,1958,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,Drip,Jackherer/D9 Distillate,0.937539308,0.004827006,,,0.898466981,0,0,0,0,0.033207547,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Drip,Live Rosin Batter,0.9327,0.021858803,,,0,0.9327,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Dutch Botanicals,NYC Cheesecake/Live Rosin Batter,0.900835768,,,,0.006591407,0.828978822,0,0,0,0.004967137,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,23.8,2688000,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,29.9,894300,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,39.6,79430,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,49.5,11030,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,,59.3,1704,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
