media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,alpha-Pinene,Camphene,beta-Pinene,beta-Myrcene,3-Carene,alpha-Terpinene,p-Cymene,D-Limonene,Ocimene 1,Ocimene 2,gamma-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,Caryophyllene,alpha-Humulene,Nerolidol 1,Nerolidol 2,Guaiol,alpha-Bisabolol,timestamp,original_filename
live rosin,nasha hash,Bdog120A/Decarb Live Rosin,25.3,27356.666666666668,0.815687165398704,0.06411631344429924,0.7057098830656524,0.0,0.0,0.0,0.0,0.048264916173570024,0.0015690318568448082,0.0006737057913198982,0.0015690318568448082,0.00618354820368205,0.0,0.00021441557191003506,0.0,0.01764357890272142,0.0003260334961139005,0.0004739095994680973,0.00021441557191003506,0.0006259545246119632,0.0014502222298645024,0.00018329450672902766,0.00016165973129742993,0.01934634118577619,0.005619825905037028,0.0021841662998372197,0.0001459147465437788,8.827623403718733e-05,0.004110227525964647,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 120A/Decarb Live Rosin,25.3,39476.666666666664,0.8381327841938406,0.06549468591485508,0.6890184839221014,0.05779211956521739,0.0,0.0,0.0,0.03151636096014493,0.0009213873697916667,0.0006845728883605072,0.0009213873697916667,0.01255518367866848,0.0,0.0001779476619112319,7.520833333333334e-05,0.02093441295855978,0.00022392181838768116,0.00013373539402173912,0.0001779476619112319,0.0004493395606884058,0.0007032712296195652,0.00017692544157608693,0.00013069284986413042,0.014074868914175725,0.005578626103940217,0.0025725967504528985,0.000443189990942029,9.247325067934782e-05,0.0028045821727807965,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 120A/Decarb Live Rosin,25.3,46936.666666666664,0.8842449752512375,0.06385234087295635,0.8091307184640768,0.019710814459277033,0.0,0.0,0.0,0.01828284835758212,0.001475851687415629,0.0006951274786260687,0.001475851687415629,0.010036527516124194,0.0,0.00019290775461226937,0.0,0.016126730928453577,0.00015838475326233686,0.00013346312434378283,0.00019290775461226937,0.00045856740662966847,0.002541556577171141,0.00019752455377231135,0.00012322435128243588,0.015187152504874755,0.0062433427103644815,0.002009295207739613,0.0,0.003650119619019049,0.001960559644517774,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,nasha hash,Strawnana 120A,25.3,143433.33333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,25.46666666666667,28260.0,0.8015082977325008,0.05977355860944154,0.6829012487676634,0.0,0.0,0.0,0.0,0.05943772592836017,0.0015315891147422147,0.0005156936784560088,0.0015315891147422147,0.004742677481953547,0.0,0.0001839649566583104,8.939823008849557e-05,0.011603953403908303,0.00019356101060134703,0.0003359257603672717,0.0001839649566583104,0.0004546480337672536,0.0009667291823975355,0.00015985470717931678,0.00011254990334954242,0.023020936844966623,0.006568056646229122,0.0018610151393880815,0.0003481170980700111,8.130540789513425e-05,0.004624867981515599,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,30.2,12713.333333333334,0.8015082977325008,0.05977355860944154,0.6829012487676634,0.0,0.0,0.0,0.0,0.05943772592836017,0.0015315891147422147,0.0005156936784560088,0.0015315891147422147,0.004742677481953547,0.0,0.0001839649566583104,8.939823008849557e-05,0.011603953403908303,0.00019356101060134703,0.0003359257603672717,0.0001839649566583104,0.0004546480337672536,0.0009667291823975355,0.00015985470717931678,0.00011254990334954242,0.023020936844966623,0.006568056646229122,0.0018610151393880815,0.0003481170980700111,8.130540789513425e-05,0.004624867981515599,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,40.53333333333333,2774.633333333333,0.8015082977325008,0.05977355860944154,0.6829012487676634,0.0,0.0,0.0,0.0,0.05943772592836017,0.0015315891147422147,0.0005156936784560088,0.0015315891147422147,0.004742677481953547,0.0,0.0001839649566583104,8.939823008849557e-05,0.011603953403908303,0.00019356101060134703,0.0003359257603672717,0.0001839649566583104,0.0004546480337672536,0.0009667291823975355,0.00015985470717931678,0.00011254990334954242,0.023020936844966623,0.006568056646229122,0.0018610151393880815,0.0003481170980700111,8.130540789513425e-05,0.004624867981515599,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Bdog245A/Decarb Live Rosin,50.13333333333333,182.6,0.8015082977325008,0.05977355860944154,0.6829012487676634,0.0,0.0,0.0,0.0,0.05943772592836017,0.0015315891147422147,0.0005156936784560088,0.0015315891147422147,0.004742677481953547,0.0,0.0001839649566583104,8.939823008849557e-05,0.011603953403908303,0.00019356101060134703,0.0003359257603672717,0.0001839649566583104,0.0004546480337672536,0.0009667291823975355,0.00015985470717931678,0.00011254990334954242,0.023020936844966623,0.006568056646229122,0.0018610151393880815,0.0003481170980700111,8.130540789513425e-05,0.004624867981515599,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 245A/Decarb Live Rosin,25.46666666666667,34186.666666666664,0.9084948400158009,0.06811011571696621,0.8329946425044441,0.004836065573770492,0.0,0.0,0.0,0.028550143195733752,0.0018648388060438473,0.0007416831670946079,0.0018648388060438473,0.009387611223582858,0.0,0.000237955930278491,0.0,0.017938093496938576,0.00018937381493185857,0.0001732509628678649,0.000237955930278491,0.0005012813302389886,0.002108925464151689,0.0002189411169267233,0.00015709999012443216,0.01662136981532688,0.006875918452498518,0.002206019059845941,0.0,0.0040539783478175,0.002028745852261505,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,Papaya 245A/Decarb Live Rosin,50.13333333333333,224.4333333333333,0.9084948400158009,0.06811011571696621,0.8329946425044441,0.004836065573770492,0.0,0.0,0.0,0.028550143195733752,0.0018648388060438473,0.0007416831670946079,0.0018648388060438473,0.009387611223582858,0.0,0.000237955930278491,0.0,0.017938093496938576,0.00018937381493185857,0.0001732509628678649,0.000237955930278491,0.0005012813302389886,0.002108925464151689,0.0002189411169267233,0.00015709999012443216,0.01662136981532688,0.006875918452498518,0.002206019059845941,0.0,0.0040539783478175,0.002028745852261505,2025-04-01T10:47:05.141747,Media Database V3 2023
