media,terpene,terpene_pct,temperature,viscosity
05162024-customer oil D9,Unknown,0,23930,60.166666666666664
05162024-customer oil D9,Unknown,0,9790,38.53333333333333
05162024-customer oil D9,Unknown,0,1842,12.799999999999999
05162024-customer oil D9,Unknown,0,508,16
05162024-customer oil D9,Unknown,0,161.9,5.2
05162024-customer oil D9,Unknown,0,98.43,3.266666666666666
245A -viscosity,Unknown,0,6604,20.833333333333332
300kcp D9 - maui wowie,Unknown,0,,
300kcp D9 - maui wowie,Unknown,0,,
300kcp D9 - maui wowie,Unknown,0,,
300kcp D9 - maui wowie,Unknown,0,,
4.19.23-lmnhz-D8,Unknown,0,777900,50
4.19.23-lmnhz-D8,Unknown,0,209600,26.866666666666664
4.19.23-lmnhz-D8,Unknown,0,26190,18
4.19.23-lmnhz-D8,Unknown,0,5271,16.8
700kcp D8 + Guava,Unknown,0,976300,67.2
700kcp D8 + Guava,Unknown,0,,
700kcp D8 + Guava,Unknown,0,,
700kcp D8 + Guava,Unknown,0,,
763kcp- Sunset Sherbert D8- 05.30.23,Unknown,0,741400,48.06666666666666
763kcp- Sunset Sherbert D8- 05.30.23,Unknown,0,265900,35
763kcp- Sunset Sherbert D8- 05.30.23,Unknown,0,39050,51.93333333333334
763kcp- Sunset Sherbert D8- 05.30.23,Unknown,0,4747,32.13333333333333
ABUNDANT ROSIN,Unknown,0,326200,40.56666666666666
ABUNDANT ROSIN,Unknown,0,132600,33.93333333333334
ABUNDANT ROSIN,Unknown,0,16.83,21.2
ABUNDANT ROSIN,Unknown,0,1707,21.733333333333334
Alien Lemon 6-29-23,Unknown,0,477000,58.53333333333333
Alien Lemon 6-29-23,Unknown,0,149800,57.199999999999996
Alien Lemon 6-29-23,Unknown,0,21830,28.3
Alien Lemon 6-29-23,Unknown,0,4286,11
Alien Rush Cake D8 6-27-23,Unknown,0,612000,77.1
Alien Rush Cake D8 6-27-23,Unknown,0,244900,64.36666666666666
Alien Rush Cake D8 6-27-23,Unknown,0,30000,19.4
Alien Rush Cake D8 6-27-23,Unknown,0,5429,17.466666666666665
